"","PC1","PC2","SampleID","lib.size","norm.factors","Sample","ID","rna_lib_type","rna_batch","pair","mother","sex","date_birth","remark","year","ID_tp","ID_tp.1","group","sample_collection_date","sample_collection_Dec_days","delta_days_samples","age_days","tissue","colony","life_history_stage"
"F9_FWB_mum_end_2018B",47.7944770719195,-56.3764823231812,"F9_FWB_mum_end_2018B",16488397.5727719,1.08161274112377,"F9_FWB_mum_end_2018B","F9","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCutzE","F9_C9",NA,"F",NA,NA,"2018_2019","F9_2","F9_2","2","06-02-2019",68,51,NA,"blood","FWB","Mother"
"FWB10_FWB_mum_start_2019B",61.8271144258641,16.6397125449271,"FWB10_FWB_mum_start_2019B",13782131.4559794,0.744904185184114,"FWB10_FWB_mum_start_2019B","FWB10","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCutzE","FWB10_N10",NA,"F",NA,NA,"2019_2020","FWB10_1","FWB10_1","1","11-12-2019",11,0,NA,"blood","FWB","Mother"
"FWB10_FWB_mum_end_2019B",-59.9630785963649,10.6642394591227,"FWB10_FWB_mum_end_2019B",18872430.1439169,1.10292946781201,"FWB10_FWB_mum_end_2019B","FWB10","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","FWB10_N10",NA,"F",NA,NA,"2019_2020","FWB10_2","FWB10_2","2","16-02-2020",78,67,NA,"blood","FWB","Mother"
"FWB12_FWB_mum_start_2019B",-6.44319225819272,24.2321614144857,"FWB12_FWB_mum_start_2019B",35474366.6888932,1.17170627400805,"FWB12_FWB_mum_start_2019B","FWB12","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCokaE","FWB12_N12",NA,"F",NA,NA,"2019_2020","FWB12_1","FWB12_1","1","18-12-2019",18,0,NA,"blood","FWB","Mother"
"FWB12_FWB_mum_end_2019B",-63.9731785845776,7.52368558979506,"FWB12_FWB_mum_end_2019B",23041034.3687884,1.34080825944887,"FWB12_FWB_mum_end_2019B","FWB12","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","FWB12_N12",NA,"F",NA,NA,"2019_2020","FWB12_2","FWB12_2","2","19-02-2020",81,63,NA,"blood","FWB","Mother"
"FWB14_FWB_mum_start_2019B",64.0024538240976,-31.1561225091231,"FWB14_FWB_mum_start_2019B",16541159.4013545,0.970784100946739,"FWB14_FWB_mum_start_2019B","FWB14","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","FWB14_N14",NA,"F",NA,NA,"2019_2020","FWB14_1","FWB14_1","1","12-12-2019",12,0,NA,"blood","FWB","Mother"
"FWB14_FWB_mum_end_2019B",-81.9759616244853,-33.4457775751401,"FWB14_FWB_mum_end_2019B",27638684.6216724,1.4975356315646,"FWB14_FWB_mum_end_2019B","FWB14","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","FWB14_N14",NA,"F",NA,NA,"2019_2020","FWB14_2","FWB14_2","2","27-02-2020",89,77,NA,"blood","FWB","Mother"
"FWB15_FWB_mum_start_2019B",39.5343149212989,17.3874683077284,"FWB15_FWB_mum_start_2019B",16279594.3803995,0.956705001553327,"FWB15_FWB_mum_start_2019B","FWB15","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","FWB15_N15",NA,"F",NA,NA,"2019_2020","FWB15_1","FWB15_1","1","12-12-2019",12,0,NA,"blood","FWB","Mother"
"FWB15_FWB_mum_end_2019B",-28.4015755981442,-22.7007530890729,"FWB15_FWB_mum_end_2019B",15457436.5533368,1.185592276905,"FWB15_FWB_mum_end_2019B","FWB15","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","FWB15_N15",NA,"F",NA,NA,"2019_2020","FWB15_2","FWB15_2","2","17-02-2020",79,67,NA,"blood","FWB","Mother"
"FWB17_FWB_mum_start_2019B",24.609780860163,20.9605245559965,"FWB17_FWB_mum_start_2019B",14404004.9578114,0.992676145351124,"FWB17_FWB_mum_start_2019B","FWB17","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","FWB17_N17",NA,"F",NA,NA,"2019_2020","FWB17_1","FWB17_1","1","12-12-2019",12,0,NA,"blood","FWB","Mother"
"FWB17_FWB_mum_end_2019B",-18.7605323907009,-28.2739098434943,"FWB17_FWB_mum_end_2019B",19103770.8293202,1.21378379936677,"FWB17_FWB_mum_end_2019B","FWB17","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","FWB17_N17",NA,"F",NA,NA,"2019_2020","FWB17_2","FWB17_2","2","06-02-2020",68,56,NA,"blood","FWB","Mother"
"FWB19_FWB_mum_start_2019B",101.42810761755,23.438976446299,"FWB19_FWB_mum_start_2019B",14469441.1178931,0.711086116970324,"FWB19_FWB_mum_start_2019B","FWB19","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCutzE","FWB19_N19",NA,"F",NA,NA,"2019_2020","FWB19_1","FWB19_1","1","18-12-2019",18,0,NA,"blood","FWB","Mother"
"FWB19_FWB_mum_end_2019B",1.45000605911606,-14.6024158093461,"FWB19_FWB_mum_end_2019B",13220430.4812782,0.806180670623175,"FWB19_FWB_mum_end_2019B","FWB19","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCuueE","FWB19_N19",NA,"F",NA,NA,"2019_2020","FWB19_2","FWB19_2","2","19-02-2020",81,63,NA,"blood","FWB","Mother"
"FWB21_FWB_mum_start_2019B",36.1778625356585,13.5376325891443,"FWB21_FWB_mum_start_2019B",20861908.7927882,0.970800126006495,"FWB21_FWB_mum_start_2019B","FWB21","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","FWB21_N21",NA,"F",NA,NA,"2019_2020","FWB21_1","FWB21_1","1","20-12-2019",20,0,NA,"blood","FWB","Mother"
"FWB21_FWB_mum_end_2019B",-60.5598496386738,-19.6766146397721,"FWB21_FWB_mum_end_2019B",25578393.9358831,1.28055393235113,"FWB21_FWB_mum_end_2019B","FWB21","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCuueE","FWB21_N21",NA,"F",NA,NA,"2019_2020","FWB21_2","FWB21_2","2","17-02-2020",79,59,NA,"blood","FWB","Mother"
"FWB22_FWB_mum_start_2019B",7.20145777874154,-31.5225471695783,"FWB22_FWB_mum_start_2019B",30468524.1053342,1.28780606040138,"FWB22_FWB_mum_start_2019B","FWB22","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","FWB22_N22",NA,"F",NA,NA,"2019_2020","FWB22_1","FWB22_1","1","20-12-2019",20,0,NA,"blood","FWB","Mother"
"FWB22_FWB_mum_end_2019B",-65.9657033826273,-14.1197587897405,"FWB22_FWB_mum_end_2019B",30879844.9662467,1.43164777576191,"FWB22_FWB_mum_end_2019B","FWB22","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","FWB22_N22",NA,"F",NA,NA,"2019_2020","FWB22_2","FWB22_2","2","22-02-2020",84,64,NA,"blood","FWB","Mother"
"FWB23_FWB_mum_start_2019B",65.5332385467113,50.1408846052295,"FWB23_FWB_mum_start_2019B",18220946.5592936,0.780442639280535,"FWB23_FWB_mum_start_2019B","FWB23","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","FWB23_N23",NA,"F",NA,NA,"2019_2020","FWB23_1","FWB23_1","1","20-12-2019",20,0,NA,"blood","FWB","Mother"
"FWB23_FWB_mum_end_2019B",23.2844399208195,17.2853095315372,"FWB23_FWB_mum_end_2019B",19009670.525758,0.905453054581223,"FWB23_FWB_mum_end_2019B","FWB23","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","FWB23_N23",NA,"F",NA,NA,"2019_2020","FWB23_2","FWB23_2","2","18-01-2020",49,29,NA,"blood","FWB","Mother"
