"logFC","AveExpr","t","P.Value","adj.P.Val"
1.12812245328621,0.811432679585202,5.39781562264268,9.95256027587337e-08,1.13324693087174e-05
0.780046753053759,6.13332768824992,5.38436362772569,1.06203362236626e-07,1.17745990816554e-05
0.957670727146981,1.83901129571601,5.36492955231965,1.1662712207099e-07,1.27073292746142e-05
0.916626350894636,6.22957930771862,5.35746236053334,1.20891678869239e-07,1.30594011045154e-05
0.893059579675341,4.51407253829643,5.3257365934068,1.40766047879605e-07,1.49507737743725e-05
0.916634956492783,4.13606642332071,5.2600333119203,1.92548568675895e-07,1.99477160614314e-05
1.05177550165559,-0.283608137507527,5.23013137221574,2.21855841077652e-07,2.22542537728607e-05
1.20365816456032,3.84714462996682,5.20829397427964,2.45954261555891e-07,2.42860618109758e-05
1.01822858913888,2.73262529317368,5.17974311011577,2.81326653384091e-07,2.75634695513296e-05
0.845614712125174,4.2399026886052,5.15993880646114,3.08716466041593e-07,3.00143647253823e-05
0.904415787326463,2.40982720563128,5.14401243550121,3.32606193284124e-07,3.18283123769506e-05
0.952833600966725,5.03023913895095,5.14252376189071,3.34928835045053e-07,3.18283123769506e-05
1.17586221217146,1.19191902657716,5.14010822705793,3.38731129145807e-07,3.19494234423422e-05
0.796392154815715,5.20934628398823,5.10192410913638,4.04707552395697e-07,3.76110202553619e-05
0.763495236476075,6.48955626218356,5.08552236286603,4.36733140324476e-07,4.02549921010724e-05
1.38380852381189,-1.01122312643724,5.08414707071362,4.39527566259038e-07,4.02549921010724e-05
1.2153220601877,-1.40082679877978,5.02522466502744,5.76992737042517e-07,5.24648288020171e-05
1.01692630527628,1.82449625670631,5.01644233231704,6.00762934643389e-07,5.42360195068414e-05
1.10182095085832,3.7078892434678,4.99045123291331,6.76807323580098e-07,5.94039427967282e-05
0.891466010805209,3.84108928324472,4.95601085977072,7.92068892722761e-07,6.8568210514541e-05
0.793269617971342,4.55829906217231,4.9429092328211,8.40731095055793e-07,7.22857163973481e-05
1.16281359508135,0.577684984506408,4.89616437189829,1.03908193136049e-06,8.81406478554711e-05
0.904244190447152,10.4058555566436,4.82619799453612,1.42293186447885e-06,0.000114550546720689
0.914861459801584,0.581886074174839,4.81771299332855,1.47790679041387e-06,0.000118223189392664
0.94229785775453,2.99109366901053,4.81358007654757,1.50542259656544e-06,0.000119666894326985
0.840313432485806,1.52793329190002,4.79165954171644,1.65984699777919e-06,0.000130183283309832
1.29059653791397,-2.15701822691373,4.78480065508075,1.71123475270875e-06,0.000131879853899304
1.55935109537076,-1.98044911734413,4.78017845743718,1.74672854788667e-06,0.000133799406768119
1.34744338211339,-2.03584289958794,4.7771060806464,1.7707137928301e-06,0.00013481958811795
0.887831081305284,2.87836425599551,4.75440355622856,1.95807874162088e-06,0.000148192558175726
0.944889882596529,1.22548495527774,4.74118551081263,2.07584235653295e-06,0.000156170068715595
1.00868150614707,0.893350409148775,4.73294711936569,2.15267029935611e-06,0.000160044705373893
0.914499943477275,2.77587343019679,4.67357063800549,2.79349858914917e-06,0.000198354093641889
0.996447015005186,1.2439041392301,4.65756565615328,2.99555975017166e-06,0.000211513294315193
1.09325645446602,1.68991609079429,4.61241842624032,3.64441494764875e-06,0.000250861717445595
0.852246150310961,2.53377288669259,4.60614167327634,3.74471399963293e-06,0.000255834812115463
0.976273256365669,0.553752624580879,4.59398221365873,3.94663611254486e-06,0.000267007421378844
1.2072069321294,-2.89405202112805,4.59332297079087,3.95787826202364e-06,0.000267007421378844
0.720130125058084,3.36205001937701,4.59251918171712,3.97162712391983e-06,0.000267007421378844
0.812572501183977,1.56430075248808,4.5704934194119,4.36679935167712e-06,0.000290484089504458
1.01041980200579,1.07816716675411,4.56338352733645,4.50225648454165e-06,0.000297926804754565
1.28389295434177,-0.391866409198822,4.5509561219059,4.74879796588553e-06,0.000310984753838483
0.74344683241472,2.90072700091116,4.5295216919556,5.20487626067595e-06,0.000333931122125296
1.2732312305973,-0.262417097697254,4.52260436805692,5.3608560118154e-06,0.000342201308754216
1.03751143642373,1.17368466893772,4.50507819742647,5.77645456108367e-06,0.000365043045987682
0.987254819648425,0.0642467182518821,4.48781049323201,6.216139036279e-06,0.000390874533729006
1.0089235214317,3.39661338762994,4.47177629650276,6.65310513345343e-06,0.000416280177137217
0.793097462558609,3.40879920930079,4.46042396082275,6.98018026562524e-06,0.000434593588065209
1.31471144139064,-1.89575178290834,4.45177487798011,7.23968911143083e-06,0.000446353320387191
0.722095891982244,5.54400662265197,4.43656593697135,7.71867095335094e-06,0.000473574185336905
1.06031871228665,-0.96857506630389,4.43328032222978,7.8260741032563e-06,0.000477844205753895
1.17313522836972,-0.605410430072569,4.42852931116445,7.98392217731674e-06,0.000485138424995703
0.706320711749604,5.75995796136987,4.42601104741174,8.06882494727464e-06,0.000486248390315794
1.18757856570243,-2.98003500736342,4.42570703947364,8.07913299836353e-06,0.000486248390315794
1.00953699463344,1.4436612004597,4.42200705773943,8.20560723251815e-06,0.000491519762141217
0.854830772336309,5.48285743771346,4.37200588301299,1.01127548978738e-05,0.000578348910200124
