"","logFC","AveExpr","t","P.Value","adj.P.Val","Significance"
"peg3",-1.71276728584693,0.910525594958691,-3.60587649297248,0.000200432796841101,0.0211105843272889,"Downregulated"
"msx2",-1.67413811428302,0.514457166116729,-3.60055123879951,0.000204304188911371,0.0213405011871969,"Downregulated"
"c1qb",-2.151581321158,1.93792183282316,-3.56990175574788,0.000227990446109507,0.0236194364621152,"Downregulated"
"neo1",-1.71606939792256,0.619315322966997,-3.55143943813803,0.000243480858713919,0.0250191428722376,"Downregulated"
"ccl5",1.8371606948011,-3.51438392501805,3.52691520193928,0.000265591181739059,0.0270710237580643,"Upregulated"
"col2a1",-1.60924016137546,-1.73834625347183,-3.51854860782254,0.000273556288492016,0.027473046784063,"Downregulated"
"bhlhe41",1.57926483869475,-0.131054636237156,3.51821060874954,0.000273882735563885,0.027473046784063,"Upregulated"
"peli3",1.40582200793669,-0.58140080488073,3.51309151658179,0.000278871817338452,0.0277532354278795,"Upregulated"
"eln",-1.81317301047887,-3.69506082605137,-3.50456491386468,0.000287371774019702,0.0283757175924611,"Downregulated"
"sh3rf2",1.86081898578754,-1.16618850019251,3.46184408892517,0.000333745164465863,0.0326992646022019,"Upregulated"
"snph",1.5302775169875,-0.242227817565909,3.45329943101366,0.000343825104336661,0.0334277345670081,"Upregulated"
"spink7",1.73990155639663,-3.76280460528259,3.44310255787764,0.000356227399399293,0.0343691458092188,"Upregulated"
"znf391",1.69517605928159,-3.76713020558154,3.44017029612556,0.000359870705479203,0.0344576200496336,"Upregulated"
"prox1",1.743952767584,-3.1145522224072,3.4073408325151,0.000403114850453808,0.0383080345480126,"Upregulated"
"atcay",-1.652661764034,-0.798664935345857,-3.33657142979815,0.00051338869005673,0.0484232809972165,"Downregulated"
"klf15",1.48965070370178,-1.71412284977315,3.31159752326441,0.000558607999737825,0.0522981222865657,"Not significant"
"nlgn1",-1.60384838700509,-1.71996033044618,-3.29249940286033,0.000595664454695276,0.0553573753153941,"Not significant"
"c1qa",-1.91084001900046,1.71562343088644,-3.28932848633328,0.000602034338572488,0.0555409635417349,"Not significant"
"fam89a",1.62964548621344,-1.52387106223623,3.27271475673176,0.000636458346216717,0.0582912828828485,"Not significant"
"rai2",1.56884016394153,2.23406128511878,3.26766362393295,0.000647282166151782,0.0588561100574991,"Not significant"
"znf423",-1.60132649997675,-1.01806584271808,-3.26504313429122,0.000652964728240164,0.0589487228587673,"Not significant"
"mark1",-1.54586364223583,-2.87872694719306,-3.25845278542149,0.000667461778161361,0.0598301376892301,"Not significant"
"thy1",1.6760592926139,2.03555116867355,3.25458459633054,0.000676109645088042,0.0601785197483645,"Not significant"
"cd248",-1.67128022362507,-3.29755626853967,-3.18939899402569,0.000838440830333958,0.0741052703118244,"Not significant"
"zp3",1.73354297576429,-0.536178152132641,3.15850027774068,0.000927406242412022,0.0813992187350385,"Not significant"
"shisa2",-1.75690926508072,-2.98837993580854,-3.13926392880098,0.00098712784957477,0.0857133545619132,"Not significant"
"tmem229a",1.7570613960419,-0.400085207108954,3.13832818692249,0.000990121826571669,0.0857133545619132,"Not significant"
"kiaa1549l",1.60874881405175,-0.607879725576502,3.13599922350929,0.000997610044464925,0.085774104435321,"Not significant"
"rgl3",1.58454706643915,-0.390450435589069,3.12810002995986,0.00102340001976081,0.0873969787145733,"Not significant"
"slc5a5",1.6411205414055,-3.56698508017711,3.12190089962874,0.00104406987695517,0.0885637528512513,"Not significant"
"astl",-1.62976991080985,2.15028732759787,-3.11516909206707,0.00106695262453752,0.0899014281435319,"Not significant"
"znf229",-1.3078694128369,1.15133628009816,-3.09058282049378,0.00115452224371402,0.0966358055516651,"Not significant"
"cfap20dc",1.64810431493701,-3.83205694789449,3.0658895198245,0.00124911228984808,0.102849180852557,"Not significant"
