Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H20_SSB_pup_start_2018B_1	H20_SSB_pup_start_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	64450862.0	0.0	100.0	53.0	39.793497481008146	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H20_SSB_pup_start_2018B_2	H20_SSB_pup_start_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	64450862.0	0.0	100.0	53.0	42.48514893831202	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H22_SSB_pup_end_2018B_1	H22_SSB_pup_end_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44159031.0	0.0	100.0	52.0	45.83507801462085	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H22_SSB_pup_end_2018B_2	H22_SSB_pup_end_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44159031.0	0.0	100.0	53.0	48.499330003181136	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H22_SSB_pup_start_2018B_1	H22_SSB_pup_start_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	68135000.0	0.0	100.0	52.0	45.00491820615278	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H22_SSB_pup_start_2018B_2	H22_SSB_pup_start_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	68135000.0	0.0	100.0	52.0	48.69073462836241	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H3_SSB_pup_end_2018B_1	H3_SSB_pup_end_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28881619.0	0.0	100.0	54.0	42.243428108774374	100.0	100	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H3_SSB_pup_end_2018B_2	H3_SSB_pup_end_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28881619.0	0.0	100.0	54.0	45.667014782925484	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H3_SSB_pup_start_2018B_1	H3_SSB_pup_start_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	64298207.0	0.0	100.0	53.0	52.606936997851314	100.0	100	pass	pass	pass	warn	warn	pass	pass	warn	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H3_SSB_pup_start_2018B_2	H3_SSB_pup_start_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	64298207.0	0.0	100.0	53.0	55.916871483752814	100.0	100	pass	pass	pass	warn	warn	pass	pass	warn	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H6_SSB_pup_end_2018B_1	H6_SSB_pup_end_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18580714.0	0.0	100.0	53.0	47.72857341987905	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H6_SSB_pup_end_2018B_2	H6_SSB_pup_end_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18580714.0	0.0	100.0	53.0	50.49282938977754	100.0	100	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H6_SSB_pup_start_2018B_1	H6_SSB_pup_start_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27649089.0	0.0	100.0	54.0	44.826491129930155	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H6_SSB_pup_start_2018B_2	H6_SSB_pup_start_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27649089.0	0.0	100.0	54.0	47.419728698118305	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H7_SSB_pup_end_2018B_1	H7_SSB_pup_end_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35325073.0	0.0	100.0	53.0	46.65391385600332	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
