ID;rna_file;rna_lib_type;rna_batch;pair;mother;sex;date_birth;remark;year;timepoint_sample;sample_collection_date;sample_collection_Dec_days;delta_days_samples;age_days;tissue;colony;life_history_stage
N14;N14_FWB_pup_end_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;FWB14_N14;FWB14;F;NA;not sure about delta days;2019_2020;2;27-02-2020;89;77;80;blood;FWB;Pup
FWB15;FWB15_FWB_mum_start_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;FWB15_N15;NA;F;NA;NA;2019_2020;1;12-12-2019;12;0;NA;blood;FWB;Mother
N15;N15_FWB_pup_start_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;FWB15_N15;FWB15;M;NA;NA;2019_2020;1;12-12-2019;12;0;2to5;blood;FWB;Pup
FWB15;FWB15_FWB_mum_end_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;FWB15_N15;NA;F;NA;NA;2019_2020;2;17-02-2020;79;67;NA;blood;FWB;Mother
N15;N15_FWB_pup_end_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;FWB15_N15;FWB15;M;NA;not sure about delta days;2019_2020;2;17-02-2020;79;67;70;blood;FWB;Pup
FWB17;FWB17_FWB_mum_start_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;FWB17_N17;NA;F;NA;NA;2019_2020;1;12-12-2019;12;0;NA;blood;FWB;Mother
N17;N17_FWB_pup_start_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;FWB17_N17;FWB17;M;NA;NA;2019_2020;1;12-12-2019;12;0;2to5;blood;FWB;Pup
FWB17;FWB17_FWB_mum_end_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;FWB17_N17;NA;F;NA;NA;2019_2020;2;06-02-2020;68;56;NA;blood;FWB;Mother
FWB19;FWB19_FWB_mum_start_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCutzE;FWB19_N19;NA;F;NA;NA;2019_2020;1;18-12-2019;18;0;NA;blood;FWB;Mother
N19;N19_FWB_pup_start_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCokaE;FWB19_N19;FWB19;F;NA;NA;2019_2020;1;18-12-2019;18;0;2to5;blood;FWB;Pup
FWB19;FWB19_FWB_mum_end_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCuueE;FWB19_N19;NA;F;NA;NA;2019_2020;2;19-02-2020;81;63;NA;blood;FWB;Mother
N19;N19_FWB_pup_end_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;FWB19_N19;FWB19;F;NA;not sure about delta days;2019_2020;2;19-02-2020;81;63;66;blood;FWB;Pup
FWB21;FWB21_FWB_mum_start_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;FWB21_N21;NA;F;NA;NA;2019_2020;1;20-12-2019;20;0;NA;blood;FWB;Mother
N21;N21_FWB_pup_start_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;FWB21_N21;FWB21;M;NA;NA;2019_2020;1;20-12-2019;20;0;2to5;blood;FWB;Pup
FWB21;FWB21_FWB_mum_end_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCuueE;FWB21_N21;NA;F;NA;NA;2019_2020;2;17-02-2020;79;59;NA;blood;FWB;Mother
FWB22;FWB22_FWB_mum_start_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;FWB22_N22;NA;F;NA;NA;2019_2020;1;20-12-2019;20;0;NA;blood;FWB;Mother
N22;N22_FWB_pup_start_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;FWB22_N22;FWB22;F;NA;NA;2019_2020;1;20-12-2019;20;0;2to5;blood;FWB;Pup
FWB22;FWB22_FWB_mum_end_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;FWB22_N22;NA;F;NA;NA;2019_2020;2;22-02-2020;84;64;NA;blood;FWB;Mother
N22;N22_FWB_pup_end_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;FWB22_N22;FWB22;F;NA;not sure about delta days;2019_2020;2;22-02-2020;84;64;67;blood;FWB;Pup
FWB23;FWB23_FWB_mum_start_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;FWB23_N23;NA;F;NA;NA;2019_2020;1;20-12-2019;20;0;NA;blood;FWB;Mother
FWB23;FWB23_FWB_mum_end_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;FWB23_N23;NA;F;NA;NA;2019_2020;2;18-01-2020;49;29;NA;blood;FWB;Mother
